Reference,Qty,Value,Link
"C1,C2,C4,C20",4,1uF,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL10B105KO8NNNC/3886677
"C3,C5,C7",3,4.7uF,https://www.digikey.ca/en/products/detail/murata-electronics/GRM188R61E475KE11D/3900465
"C6,C8,C10,C12,C13,C19,C22,C24,C25",9,0.1uF,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05B104KA5NNNC/5961204
"C9,C23",2,5pF,https://www.digikey.ca/en/products/detail/yageo/CC0603CRNPO9BN5R0/302788
C11,1,22nF,https://www.digikey.ca/en/products/detail/murata-electronics/GRM155R71C223KA01J/2610895
"C14,C15",2,0.39uF,https://www.digikey.ca/en/products/detail/yageo/CC0603JRX7R8BB474/11489671
"C16,C18",2,68uF,https://www.digikey.ca/en/products/detail/murata-electronics/GRM32ER71A476KE15L/2039039
"C17,C21",2,22pF,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05C220JB51PNC/5961333
"C26,C27",2,7.5pF,https://www.digikey.ca/en/products/detail/murata-electronics/GJM1555C1H7R5BB01D/2593128
"D1,D2,D3,D4,D5",5,LED,https://www.digikey.ca/en/products/detail/liteon/LTST-C190GKT/269230
FB1,1,"600R @ 100MHz, 1A",https://www.digikey.ca/en/products/detail/tdk-corporation/MPZ1608S601ATA00/765064
J3,1,54-00174,https://www.digikey.ca/en/products/detail/tensility-international-corp/54-00174/12140150
J4,1,ExposedPad2,
L1,1,120nH,https://www.digikey.ca/en/products/detail/murata-electronics/LQW18ASR12G0ZD/6799291
R1,1,2R,https://www.digikey.ca/en/products/detail/koa-speer-electronics-inc/SG73P1JTTD2R00F/10190011
"R2,R9",2,200k,https://www.digikey.ca/en/products/detail/koa-speer-electronics-inc/RN73H2ATTD2003B25/10060608
"R3,R4",2,20k,https://www.digikey.ca/en/products/detail/koa-speer-electronics-inc/RN73H1JTTD2002B25/10688230
"R6,R7",2,4.7k,https://www.digikey.ca/en/products/detail/yageo/RC0603FR-074K7L/727212
"R11,R12",2,2k,https://www.digikey.ca/en/products/detail/panasonic-electronic-components/ERA-3AEB202V/1465861
"R14,R15,R16,R17,R18",5,470R,https://www.digikey.ca/en/products/detail/te-connectivity-passive-product/CRGCQ0603F470R/8576286
"SW1,SW2,SW3,SW4,SW5",5,SW_Push,https://www.digikey.ca/en/products/detail/c-k/PTS647SK38SMTR2-LFS/9649862
U1,1,LDL1117S50R,https://www.digikey.ca/en/products/detail/stmicroelectronics/LDL1117S50R/7102072
U2,1,LDL1117S33R,https://www.digikey.ca/en/products/detail/stmicroelectronics/LDL1117S33R/7102071
U3,1,MAX809STRG,https://www.digikey.ca/en/products/detail/onsemi/MAX809STRG/918567
U4,1,TPA6111A2D,https://www.digikey.ca/en/products/detail/texas-instruments/TPA6111A2DR/382220
U5,1,Si4704-D60-GM,https://www.digikey.ca/en/products/detail/skyworks-solutions-inc/SI4704-D60-GM/2686988
U6,1,STM32G030C8Tx,https://www.digikey.ca/en/products/detail/stmicroelectronics/STM32G030C8T6/10326685
Y1,1,8MHz,https://www.digikey.ca/en/products/detail/fox-electronics/FC4SDCBMF8-0-T1/1024602?s=N4IgTCBcDaIGIHkAaBlAIgGTgegAwA5cBaMXEAXQF8g
Y2,1,32.768kHz,https://www.digikey.ca/en/products/detail/ecs-inc/ECS-327-12-5-34R-TR/5875550
AE1,1,Antenna,
"H1,H2,H3,H4",4,MountingHole,
J1,1,Conn_01x04_Pin,
J2,1,Conn_01x07_Pin,
JP1,1,Jumper_2_Open,
"TP1,TP2,TP3,TP4",4,TestPoint,
